Simulation ID,Rules,Timestamp,Station ID,Order ID,Task Name,Event Type,Details
Simulation1,FCFS + FCFS,0.68,C-1,O-1,T3,Task Start,Process time: 1.45
Simulation1,FCFS + FCFS,2.05,N/A,O-2,N/A,Order Arrival,5 tasks included
Simulation1,FCFS + FCFS,2.05,D-1,O-2,T4,Order Released,Continuous Release
Simulation1,FCFS + FCFS,2.05,D-1,O-2,T4,Task Added,
Simulation1,FCFS + FCFS,2.05,D-1,N/A,N/A,Idle End,Idle duration: 2.05
Simulation1,FCFS + FCFS,2.05,D-1,O-2,T4,Task Start,Process time: 4.27
Simulation1,FCFS + FCFS,2.13,C-1,O-1,T3,Task Complete,"TWT: 1.45, TIT: 0.68"
Simulation1,FCFS + FCFS,2.13,C-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,2.17,N/A,O-3,N/A,Order Arrival,4 tasks included
Simulation1,FCFS + FCFS,2.17,D-2,O-3,T4,Order Released,Continuous Release
Simulation1,FCFS + FCFS,2.17,D-2,O-3,T4,Task Added,
Simulation1,FCFS + FCFS,2.17,D-2,N/A,N/A,Idle End,Idle duration: 2.17
Simulation1,FCFS + FCFS,2.17,D-2,O-3,T4,Task Start,Process time: 3.29
Simulation1,FCFS + FCFS,2.37,B-1,O-1,T2,Task Complete,"TWT: 1.69, TIT: 0.68"
Simulation1,FCFS + FCFS,2.37,D-1,O-1,T4,Task Added,
Simulation1,FCFS + FCFS,2.37,B-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,2.94,N/A,O-4,N/A,Order Arrival,2 tasks included
Simulation1,FCFS + FCFS,2.94,D-3,O-4,T4,Order Released,Continuous Release
Simulation1,FCFS + FCFS,2.94,D-3,O-4,T4,Task Added,
Simulation1,FCFS + FCFS,2.94,D-3,N/A,N/A,Idle End,Idle duration: 2.94
Simulation1,FCFS + FCFS,2.94,D-3,O-4,T4,Task Start,Process time: 4.22
Simulation1,FCFS + FCFS,5.46,D-2,O-3,T4,Task Complete,"TWT: 3.29, TIT: 2.17"
Simulation1,FCFS + FCFS,5.46,A-2,O-3,T1,Task Added,
Simulation1,FCFS + FCFS,5.46,A-2,N/A,N/A,Idle End,Idle duration: 5.46
Simulation1,FCFS + FCFS,5.46,D-2,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,5.46,A-2,O-3,T1,Task Start,Process time: 3.13
Simulation1,FCFS + FCFS,5.63,N/A,O-5,N/A,Order Arrival,4 tasks included
Simulation1,FCFS + FCFS,5.63,A-1,O-5,T1,Order Released,Continuous Release
Simulation1,FCFS + FCFS,5.63,A-1,O-5,T1,Task Added,
Simulation1,FCFS + FCFS,5.63,A-1,N/A,N/A,Idle End,Idle duration: 4.95
Simulation1,FCFS + FCFS,5.63,A-1,O-5,T1,Task Start,Process time: 2.46
Simulation1,FCFS + FCFS,5.84,N/A,O-6,N/A,Order Arrival,3 tasks included
Simulation1,FCFS + FCFS,6.32,D-1,O-2,T4,Task Complete,"TWT: 4.27, TIT: 2.05"
Simulation1,FCFS + FCFS,6.32,A-1,O-2,T1,Task Added,
Simulation1,FCFS + FCFS,6.32,D-1,O-1,T4,Task Start,Process time: 4.03
Simulation1,FCFS + FCFS,6.42,N/A,O-7,N/A,Order Arrival,2 tasks included
Simulation1,FCFS + FCFS,6.42,D-2,O-7,T4,Order Released,Continuous Release
Simulation1,FCFS + FCFS,6.42,D-2,O-7,T4,Task Added,
Simulation1,FCFS + FCFS,6.42,D-2,N/A,N/A,Idle End,Idle duration: 0.96
Simulation1,FCFS + FCFS,6.42,D-2,O-7,T4,Task Start,Process time: 4.55
Simulation1,FCFS + FCFS,7.16,D-3,O-4,T4,Task Complete,"TWT: 4.22, TIT: 2.94"
Simulation1,FCFS + FCFS,7.16,A-1,O-4,T1,Task Added,
Simulation1,FCFS + FCFS,7.16,D-3,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,7.73,N/A,O-8,N/A,Order Arrival,5 tasks included
Simulation1,FCFS + FCFS,8.00,N/A,O-6,N/A,Order Released,Periodic Release
Simulation1,FCFS + FCFS,8.00,A-1,O-6,T1,Task Added,
Simulation1,FCFS + FCFS,8.00,N/A,O-8,N/A,Order Released,Periodic Release
Simulation1,FCFS + FCFS,8.00,A-2,O-8,T1,Task Added,
Simulation1,FCFS + FCFS,8.00,N/A,O-9,N/A,Order Arrival,4 tasks included
Simulation1,FCFS + FCFS,8.00,D-3,O-9,T4,Order Released,Continuous Release
Simulation1,FCFS + FCFS,8.00,D-3,O-9,T4,Task Added,
Simulation1,FCFS + FCFS,8.00,D-3,N/A,N/A,Idle End,Idle duration: 0.84
Simulation1,FCFS + FCFS,8.00,D-3,O-9,T4,Task Start,Process time: 4.57
Simulation1,FCFS + FCFS,8.09,A-1,O-5,T1,Task Complete,"TWT: 3.14, TIT: 4.95"
Simulation1,FCFS + FCFS,8.09,B-1,O-5,T2,Task Added,
Simulation1,FCFS + FCFS,8.09,C-2,O-5,T3,Task Added,
Simulation1,FCFS + FCFS,8.09,B-1,N/A,N/A,Idle End,Idle duration: 5.72
Simulation1,FCFS + FCFS,8.09,C-2,N/A,N/A,Idle End,Idle duration: 8.09
Simulation1,FCFS + FCFS,8.09,B-1,O-5,T2,Task Start,Process time: 1.86
Simulation1,FCFS + FCFS,8.09,C-2,O-5,T3,Task Start,Process time: 1.77
Simulation1,FCFS + FCFS,8.09,A-1,O-4,T1,Task Start,Process time: 1.03
Simulation1,FCFS + FCFS,8.59,A-2,O-3,T1,Task Complete,"TWT: 3.13, TIT: 5.46"
Simulation1,FCFS + FCFS,8.59,B-2,O-3,T2,Task Added,
Simulation1,FCFS + FCFS,8.59,C-1,O-3,T3,Task Added,
Simulation1,FCFS + FCFS,8.59,B-2,N/A,N/A,Idle End,Idle duration: 8.59
Simulation1,FCFS + FCFS,8.59,C-1,N/A,N/A,Idle End,Idle duration: 6.46
Simulation1,FCFS + FCFS,8.59,B-2,O-3,T2,Task Start,Process time: 1.15
Simulation1,FCFS + FCFS,8.59,C-1,O-3,T3,Task Start,Process time: 3.87
Simulation1,FCFS + FCFS,8.59,A-2,O-8,T1,Task Start,Process time: 1.23
Simulation1,FCFS + FCFS,8.73,N/A,O-10,N/A,Order Arrival,1 tasks included
Simulation1,FCFS + FCFS,9.10,N/A,O-11,N/A,Order Arrival,1 tasks included
Simulation1,FCFS + FCFS,9.12,A-1,O-4,T1,Task Complete,"TWT: 4.17, TIT: 4.95"
Simulation1,FCFS + FCFS,9.12,N/A,O-4,N/A,Order Finished,
Simulation1,FCFS + FCFS,9.12,A-1,O-6,T1,Task Start,Process time: 2.80
Simulation1,FCFS + FCFS,9.18,N/A,O-12,N/A,Order Arrival,4 tasks included
Simulation1,FCFS + FCFS,9.74,B-2,O-3,T2,Task Complete,"TWT: 1.15, TIT: 8.59"
Simulation1,FCFS + FCFS,9.74,B-2,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,9.82,A-2,O-8,T1,Task Complete,"TWT: 4.36, TIT: 5.46"
Simulation1,FCFS + FCFS,9.82,B-2,O-8,T2,Task Added,
Simulation1,FCFS + FCFS,9.82,C-2,O-8,T3,Task Added,
Simulation1,FCFS + FCFS,9.82,B-2,N/A,N/A,Idle End,Idle duration: 0.08
Simulation1,FCFS + FCFS,9.82,A-2,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,9.82,A-2,O-10,T1,Order Released,Continuous Release
Simulation1,FCFS + FCFS,9.82,A-2,O-10,T1,Task Added,
Simulation1,FCFS + FCFS,9.82,B-2,O-8,T2,Task Start,Process time: 3.15
Simulation1,FCFS + FCFS,9.82,A-2,N/A,N/A,Idle End,Idle duration: 0.00
Simulation1,FCFS + FCFS,9.82,A-2,O-10,T1,Task Start,Process time: 4.03
Simulation1,FCFS + FCFS,9.86,C-2,O-5,T3,Task Complete,"TWT: 1.77, TIT: 8.09"
Simulation1,FCFS + FCFS,9.86,C-2,O-8,T3,Task Start,Process time: 4.63
Simulation1,FCFS + FCFS,9.95,B-1,O-5,T2,Task Complete,"TWT: 3.55, TIT: 6.40"
Simulation1,FCFS + FCFS,9.95,D-2,O-5,T4,Task Added,
Simulation1,FCFS + FCFS,9.95,B-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,10.02,N/A,O-13,N/A,Order Arrival,4 tasks included
Simulation1,FCFS + FCFS,10.35,D-1,O-1,T4,Task Complete,"TWT: 8.30, TIT: 2.05"
Simulation1,FCFS + FCFS,10.35,E-1,O-1,T5,Task Added,
Simulation1,FCFS + FCFS,10.35,E-1,N/A,N/A,Idle End,Idle duration: 10.35
Simulation1,FCFS + FCFS,10.35,D-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,10.35,D-1,O-11,T4,Order Released,Continuous Release
Simulation1,FCFS + FCFS,10.35,D-1,O-11,T4,Task Added,
Simulation1,FCFS + FCFS,10.35,E-1,O-1,T5,Task Start,Process time: 2.11
Simulation1,FCFS + FCFS,10.35,D-1,N/A,N/A,Idle End,Idle duration: 0.00
Simulation1,FCFS + FCFS,10.35,D-1,O-11,T4,Task Start,Process time: 4.32
Simulation1,FCFS + FCFS,10.97,D-2,O-7,T4,Task Complete,"TWT: 7.84, TIT: 3.13"
Simulation1,FCFS + FCFS,10.97,A-2,O-7,T1,Task Added,
Simulation1,FCFS + FCFS,10.97,D-2,O-5,T4,Task Start,Process time: 3.31
Simulation1,FCFS + FCFS,11.03,N/A,O-14,N/A,Order Arrival,2 tasks included
Simulation1,FCFS + FCFS,11.12,N/A,O-15,N/A,Order Arrival,4 tasks included
Simulation1,FCFS + FCFS,11.92,A-1,O-6,T1,Task Complete,"TWT: 6.97, TIT: 4.95"
Simulation1,FCFS + FCFS,11.92,B-1,O-6,T2,Task Added,
Simulation1,FCFS + FCFS,11.92,C-1,O-6,T3,Task Added,
Simulation1,FCFS + FCFS,11.92,B-1,N/A,N/A,Idle End,Idle duration: 1.97
Simulation1,FCFS + FCFS,11.92,B-1,O-6,T2,Task Start,Process time: 3.14
Simulation1,FCFS + FCFS,11.92,A-1,O-2,T1,Task Start,Process time: 0.81
Simulation1,FCFS + FCFS,12.00,N/A,O-12,N/A,Order Released,Periodic Release
Simulation1,FCFS + FCFS,12.00,D-2,O-12,T4,Task Added,
Simulation1,FCFS + FCFS,12.00,N/A,O-13,N/A,Order Released,Periodic Release
Simulation1,FCFS + FCFS,12.00,D-1,O-13,T4,Task Added,
Simulation1,FCFS + FCFS,12.00,N/A,O-14,N/A,Order Release Rejected,Periodic Release - Overloaded Stations: Station D-3: 6.63
Simulation1,FCFS + FCFS,12.00,N/A,O-15,N/A,Order Released,Periodic Release
Simulation1,FCFS + FCFS,12.00,D-3,O-15,T4,Task Added,
Simulation1,FCFS + FCFS,12.46,E-1,O-1,T5,Task Complete,"TWT: 2.11, TIT: 10.35"
Simulation1,FCFS + FCFS,12.46,N/A,O-1,N/A,Order Finished,
Simulation1,FCFS + FCFS,12.46,E-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,12.46,C-1,O-3,T3,Task Complete,"TWT: 5.32, TIT: 7.14"
Simulation1,FCFS + FCFS,12.46,N/A,O-3,N/A,Order Finished,
Simulation1,FCFS + FCFS,12.46,C-1,O-6,T3,Task Start,Process time: 2.76
Simulation1,FCFS + FCFS,12.57,D-3,O-9,T4,Task Complete,"TWT: 8.79, TIT: 3.78"
Simulation1,FCFS + FCFS,12.57,A-2,O-9,T1,Task Added,
Simulation1,FCFS + FCFS,12.57,D-3,O-15,T4,Task Start,Process time: 3.06
Simulation1,FCFS + FCFS,12.73,A-1,O-2,T1,Task Complete,"TWT: 7.78, TIT: 4.95"
Simulation1,FCFS + FCFS,12.73,B-2,O-2,T2,Task Added,
Simulation1,FCFS + FCFS,12.73,C-2,O-2,T3,Task Added,
Simulation1,FCFS + FCFS,12.73,A-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,12.97,B-2,O-8,T2,Task Complete,"TWT: 4.30, TIT: 8.67"
Simulation1,FCFS + FCFS,12.97,D-3,O-8,T4,Task Added,
Simulation1,FCFS + FCFS,12.97,B-2,O-2,T2,Task Start,Process time: 2.85
Simulation1,FCFS + FCFS,13.75,N/A,O-16,N/A,Order Arrival,1 tasks included
Simulation1,FCFS + FCFS,13.85,A-2,O-10,T1,Task Complete,"TWT: 8.39, TIT: 5.46"
Simulation1,FCFS + FCFS,13.85,N/A,O-10,N/A,Order Finished,
Simulation1,FCFS + FCFS,13.85,A-2,O-9,T1,Task Start,Process time: 0.95
Simulation1,FCFS + FCFS,13.93,N/A,O-17,N/A,Order Arrival,1 tasks included
Simulation1,FCFS + FCFS,14.08,N/A,O-18,N/A,Order Arrival,3 tasks included
Simulation1,FCFS + FCFS,14.08,A-1,O-18,T1,Order Released,Continuous Release
Simulation1,FCFS + FCFS,14.08,A-1,O-18,T1,Task Added,
Simulation1,FCFS + FCFS,14.08,A-1,N/A,N/A,Idle End,Idle duration: 1.35
Simulation1,FCFS + FCFS,14.08,A-1,O-18,T1,Task Start,Process time: 2.67
Simulation1,FCFS + FCFS,14.28,D-2,O-5,T4,Task Complete,"TWT: 11.15, TIT: 3.13"
Simulation1,FCFS + FCFS,14.28,N/A,O-5,N/A,Order Finished,
Simulation1,FCFS + FCFS,14.28,D-2,O-12,T4,Task Start,Process time: 3.85
Simulation1,FCFS + FCFS,14.49,C-2,O-8,T3,Task Complete,"TWT: 6.40, TIT: 8.09"
Simulation1,FCFS + FCFS,14.49,C-2,O-2,T3,Task Start,Process time: 2.95
Simulation1,FCFS + FCFS,14.52,N/A,O-19,N/A,Order Arrival,1 tasks included
Simulation1,FCFS + FCFS,14.67,D-1,O-11,T4,Task Complete,"TWT: 12.62, TIT: 2.05"
Simulation1,FCFS + FCFS,14.67,N/A,O-11,N/A,Order Finished,
Simulation1,FCFS + FCFS,14.67,D-1,O-13,T4,Task Start,Process time: 3.74
Simulation1,FCFS + FCFS,14.80,A-2,O-9,T1,Task Complete,"TWT: 9.34, TIT: 5.46"
Simulation1,FCFS + FCFS,14.80,B-1,O-9,T2,Task Added,
Simulation1,FCFS + FCFS,14.80,C-1,O-9,T3,Task Added,
Simulation1,FCFS + FCFS,14.80,A-2,O-7,T1,Task Start,Process time: 4.57
Simulation1,FCFS + FCFS,15.06,B-1,O-6,T2,Task Complete,"TWT: 6.69, TIT: 8.37"
Simulation1,FCFS + FCFS,15.06,B-1,O-9,T2,Task Start,Process time: 2.42
Simulation1,FCFS + FCFS,15.14,N/A,O-20,N/A,Order Arrival,3 tasks included
Simulation1,FCFS + FCFS,15.22,C-1,O-6,T3,Task Complete,"TWT: 8.08, TIT: 7.14"
Simulation1,FCFS + FCFS,15.22,N/A,O-6,N/A,Order Finished,
Simulation1,FCFS + FCFS,15.22,C-1,O-9,T3,Task Start,Process time: 1.66
Simulation1,FCFS + FCFS,15.63,D-3,O-15,T4,Task Complete,"TWT: 11.85, TIT: 3.78"
Simulation1,FCFS + FCFS,15.63,A-1,O-15,T1,Task Added,
Simulation1,FCFS + FCFS,15.63,D-3,O-8,T4,Task Start,Process time: 4.12
Simulation1,FCFS + FCFS,15.82,B-2,O-2,T2,Task Complete,"TWT: 7.15, TIT: 8.67"
Simulation1,FCFS + FCFS,15.82,E-1,O-2,T5,Task Added,
Simulation1,FCFS + FCFS,15.82,E-1,N/A,N/A,Idle End,Idle duration: 3.36
Simulation1,FCFS + FCFS,15.82,B-2,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,15.82,E-1,O-2,T5,Task Start,Process time: 4.52
Simulation1,FCFS + FCFS,16.00,N/A,O-17,N/A,Order Release Rejected,Periodic Release - Overloaded Stations: Station A-1: 12.13
Simulation1,FCFS + FCFS,16.00,N/A,O-20,N/A,Order Release Rejected,Periodic Release - Overloaded Stations: Station A-1: 12.13
Simulation1,FCFS + FCFS,16.00,N/A,O-19,N/A,Order Release Rejected,Periodic Release - Overloaded Stations: Station A-1: 12.13
Simulation1,FCFS + FCFS,16.00,N/A,O-14,N/A,Order Release Rejected,Periodic Release - Overloaded Stations: Station A-1: 12.13
Simulation1,FCFS + FCFS,16.00,N/A,O-16,N/A,Order Release Rejected,Periodic Release - Overloaded Stations: Station A-1: 12.13
Simulation1,FCFS + FCFS,16.50,N/A,O-21,N/A,Order Arrival,1 tasks included
Simulation1,FCFS + FCFS,16.75,A-1,O-18,T1,Task Complete,"TWT: 10.45, TIT: 6.30"
Simulation1,FCFS + FCFS,16.75,B-2,O-18,T2,Task Added,
Simulation1,FCFS + FCFS,16.75,C-1,O-18,T3,Task Added,
Simulation1,FCFS + FCFS,16.75,B-2,N/A,N/A,Idle End,Idle duration: 0.93
Simulation1,FCFS + FCFS,16.75,B-2,O-18,T2,Task Start,Process time: 7.69
Simulation1,FCFS + FCFS,16.75,A-1,O-15,T1,Task Start,Process time: 8.09
Simulation1,FCFS + FCFS,16.88,C-1,O-9,T3,Task Complete,"TWT: 9.74, TIT: 7.14"
Simulation1,FCFS + FCFS,16.88,C-1,O-18,T3,Task Start,Process time: 1.23
Simulation1,FCFS + FCFS,17.44,C-2,O-2,T3,Task Complete,"TWT: 9.35, TIT: 8.09"
Simulation1,FCFS + FCFS,17.44,C-2,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,17.48,B-1,O-9,T2,Task Complete,"TWT: 9.11, TIT: 8.37"
Simulation1,FCFS + FCFS,17.48,N/A,O-9,N/A,Order Finished,
Simulation1,FCFS + FCFS,17.48,B-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,18.11,C-1,O-18,T3,Task Complete,"TWT: 10.97, TIT: 7.14"
Simulation1,FCFS + FCFS,18.11,C-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,18.13,D-2,O-12,T4,Task Complete,"TWT: 15.00, TIT: 3.13"
Simulation1,FCFS + FCFS,18.13,A-1,O-12,T1,Task Added,
Simulation1,FCFS + FCFS,18.13,D-2,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,18.13,D-2,O-17,T4,Order Released,Continuous Release
Simulation1,FCFS + FCFS,18.13,D-2,O-17,T4,Task Added,
Simulation1,FCFS + FCFS,18.13,D-2,N/A,N/A,Idle End,Idle duration: 0.00
Simulation1,FCFS + FCFS,18.13,D-2,O-17,T4,Task Start,Process time: 3.12
Simulation1,FCFS + FCFS,18.25,N/A,O-22,N/A,Order Arrival,3 tasks included
Simulation1,FCFS + FCFS,18.41,D-1,O-13,T4,Task Complete,"TWT: 16.36, TIT: 2.05"
Simulation1,FCFS + FCFS,18.41,A-1,O-13,T1,Task Added,
Simulation1,FCFS + FCFS,18.41,D-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,18.41,D-1,O-14,T4,Order Released,Continuous Release
Simulation1,FCFS + FCFS,18.41,D-1,O-14,T4,Task Added,
Simulation1,FCFS + FCFS,18.41,D-1,N/A,N/A,Idle End,Idle duration: 0.00
Simulation1,FCFS + FCFS,18.41,D-1,O-14,T4,Task Start,Process time: 4.25
Simulation1,FCFS + FCFS,19.37,A-2,O-7,T1,Task Complete,"TWT: 13.91, TIT: 5.46"
Simulation1,FCFS + FCFS,19.37,N/A,O-7,N/A,Order Finished,
Simulation1,FCFS + FCFS,19.37,A-2,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,19.37,A-2,O-20,T1,Order Released,Continuous Release
Simulation1,FCFS + FCFS,19.37,A-2,O-20,T1,Task Added,
Simulation1,FCFS + FCFS,19.37,A-2,N/A,N/A,Idle End,Idle duration: 0.00
Simulation1,FCFS + FCFS,19.37,A-2,O-20,T1,Task Start,Process time: 3.01
Simulation1,FCFS + FCFS,19.75,D-3,O-8,T4,Task Complete,"TWT: 15.97, TIT: 3.78"
Simulation1,FCFS + FCFS,19.75,E-1,O-8,T5,Task Added,
Simulation1,FCFS + FCFS,19.75,D-3,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,19.75,D-3,O-16,T4,Order Released,Continuous Release
Simulation1,FCFS + FCFS,19.75,D-3,O-16,T4,Task Added,
Simulation1,FCFS + FCFS,19.75,D-3,N/A,N/A,Idle End,Idle duration: 0.00
Simulation1,FCFS + FCFS,19.75,D-3,O-16,T4,Task Start,Process time: 4.64
Simulation1,FCFS + FCFS,20.00,N/A,O-19,N/A,Order Release Rejected,"Periodic Release - Overloaded Stations: Station A-1: 11.44, Station D-1: 12.01, Station E-1: 11.54"
Simulation1,FCFS + FCFS,20.00,N/A,O-21,N/A,Order Release Rejected,"Periodic Release - Overloaded Stations: Station A-1: 11.44, Station D-1: 12.01, Station E-1: 11.54"
Simulation1,FCFS + FCFS,20.00,N/A,O-22,N/A,Order Release Rejected,"Periodic Release - Overloaded Stations: Station A-1: 11.44, Station D-1: 12.01, Station E-1: 11.54"
Simulation1,FCFS + FCFS,20.34,E-1,O-2,T5,Task Complete,"TWT: 6.63, TIT: 13.71"
Simulation1,FCFS + FCFS,20.34,N/A,O-2,N/A,Order Finished,
Simulation1,FCFS + FCFS,20.34,E-1,O-8,T5,Task Start,Process time: 7.02
Simulation1,FCFS + FCFS,21.06,N/A,O-23,N/A,Order Arrival,1 tasks included
Simulation1,FCFS + FCFS,21.25,D-2,O-17,T4,Task Complete,"TWT: 18.12, TIT: 3.13"
Simulation1,FCFS + FCFS,21.25,N/A,O-17,N/A,Order Finished,
Simulation1,FCFS + FCFS,21.25,D-2,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,21.25,D-2,O-21,T4,Order Released,Continuous Release
Simulation1,FCFS + FCFS,21.25,D-2,O-21,T4,Task Added,
Simulation1,FCFS + FCFS,21.25,D-2,N/A,N/A,Idle End,Idle duration: 0.00
Simulation1,FCFS + FCFS,21.25,D-2,O-21,T4,Task Start,Process time: 4.35
Simulation1,FCFS + FCFS,21.45,N/A,O-24,N/A,Order Arrival,1 tasks included
Simulation1,FCFS + FCFS,21.55,N/A,O-25,N/A,Order Arrival,3 tasks included
Simulation1,FCFS + FCFS,21.65,N/A,O-26,N/A,Order Arrival,5 tasks included
Simulation1,FCFS + FCFS,22.38,A-2,O-20,T1,Task Complete,"TWT: 16.92, TIT: 5.46"
Simulation1,FCFS + FCFS,22.38,B-1,O-20,T2,Task Added,
Simulation1,FCFS + FCFS,22.38,C-1,O-20,T3,Task Added,
Simulation1,FCFS + FCFS,22.38,B-1,N/A,N/A,Idle End,Idle duration: 4.89
Simulation1,FCFS + FCFS,22.38,C-1,N/A,N/A,Idle End,Idle duration: 4.27
Simulation1,FCFS + FCFS,22.38,A-2,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,22.38,A-2,O-19,T1,Order Released,Continuous Release
Simulation1,FCFS + FCFS,22.38,A-2,O-19,T1,Task Added,
Simulation1,FCFS + FCFS,22.38,B-1,O-20,T2,Task Start,Process time: 1.76
Simulation1,FCFS + FCFS,22.38,C-1,O-20,T3,Task Start,Process time: 1.83
Simulation1,FCFS + FCFS,22.38,A-2,N/A,N/A,Idle End,Idle duration: 0.00
Simulation1,FCFS + FCFS,22.38,A-2,O-19,T1,Task Start,Process time: 2.07
Simulation1,FCFS + FCFS,22.66,D-1,O-14,T4,Task Complete,"TWT: 20.61, TIT: 2.05"
Simulation1,FCFS + FCFS,22.66,A-2,O-14,T1,Task Added,
Simulation1,FCFS + FCFS,22.66,D-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,22.66,D-1,O-23,T4,Order Released,Continuous Release
Simulation1,FCFS + FCFS,22.66,D-1,O-23,T4,Task Added,
Simulation1,FCFS + FCFS,22.66,D-1,N/A,N/A,Idle End,Idle duration: 0.00
Simulation1,FCFS + FCFS,22.66,D-1,O-23,T4,Task Start,Process time: 3.45
Simulation1,FCFS + FCFS,22.89,N/A,O-27,N/A,Order Arrival,4 tasks included
Simulation1,FCFS + FCFS,24.00,N/A,O-22,N/A,Order Release Rejected,"Periodic Release - Overloaded Stations: Station A-1: 11.44, Station D-1: 11.21"
Simulation1,FCFS + FCFS,24.00,N/A,O-24,N/A,Order Release Rejected,"Periodic Release - Overloaded Stations: Station A-1: 11.44, Station D-1: 11.21"
Simulation1,FCFS + FCFS,24.00,N/A,O-25,N/A,Order Release Rejected,"Periodic Release - Overloaded Stations: Station A-1: 11.44, Station D-1: 11.21"
Simulation1,FCFS + FCFS,24.00,N/A,O-26,N/A,Order Release Rejected,"Periodic Release - Overloaded Stations: Station A-1: 11.44, Station D-1: 11.21"
Simulation1,FCFS + FCFS,24.00,N/A,O-27,N/A,Order Release Rejected,"Periodic Release - Overloaded Stations: Station A-1: 11.44, Station D-1: 11.21"
Simulation1,FCFS + FCFS,24.03,N/A,O-28,N/A,Order Arrival,5 tasks included
Simulation1,FCFS + FCFS,24.14,B-1,O-20,T2,Task Complete,"TWT: 10.87, TIT: 13.27"
Simulation1,FCFS + FCFS,24.14,B-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,24.21,C-1,O-20,T3,Task Complete,"TWT: 12.80, TIT: 11.41"
Simulation1,FCFS + FCFS,24.21,N/A,O-20,N/A,Order Finished,
Simulation1,FCFS + FCFS,24.21,C-1,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,24.39,D-3,O-16,T4,Task Complete,"TWT: 20.61, TIT: 3.78"
Simulation1,FCFS + FCFS,24.39,N/A,O-16,N/A,Order Finished,
Simulation1,FCFS + FCFS,24.39,D-3,N/A,N/A,Idle Start,
Simulation1,FCFS + FCFS,24.39,D-3,O-24,T4,Order Released,Continuous Release
Simulation1,FCFS + FCFS,24.39,D-3,O-24,T4,Task Added,
Simulation1,FCFS + FCFS,24.39,D-3,N/A,N/A,Idle End,Idle duration: 0.00
Simulation1,FCFS + FCFS,24.39,D-3,O-24,T4,Task Start,Process time: 5.22
